datetime,timestamp,open,high,low,close,volume
2026-02-03 06:00:00+00:00,1770098400000,78163.2,78597.8,77831.4,78516.8,70.79936744
2026-02-03 07:00:00+00:00,1770102000000,78516.9,78831.7,78430.6,78704.7,19.53199404
2026-02-03 08:00:00+00:00,1770105600000,78704.8,78988.2,78409.0,78671.3,40.8118094
2026-02-03 09:00:00+00:00,1770109200000,78671.3,78775.3,77871.0,78342.1,62.11923992
2026-02-03 10:00:00+00:00,1770112800000,78342.1,78476.6,78004.5,78060.7,46.316037
2026-02-03 11:00:00+00:00,1770116400000,78060.7,78270.4,77932.5,78007.0,43.02131857
2026-02-03 12:00:00+00:00,1770120000000,78007.0,78336.2,77924.7,78257.5,56.85875798
2026-02-03 13:00:00+00:00,1770123600000,78254.5,78364.8,78123.0,78228.6,27.17571264
2026-02-03 14:00:00+00:00,1770127200000,78222.7,78350.0,77113.8,77131.7,248.75509239
2026-02-03 15:00:00+00:00,1770130800000,77131.7,78124.0,76994.2,78073.0,256.87422359
2026-02-03 16:00:00+00:00,1770134400000,78071.6,78071.6,76405.1,76419.1,378.37960686
2026-02-03 17:00:00+00:00,1770138000000,76407.8,76449.9,74811.0,74811.8,1398.76648306
2026-02-03 18:00:00+00:00,1770141600000,74812.6,75200.7,73038.9,73065.1,686.55404338
2026-02-03 19:00:00+00:00,1770145200000,73065.1,75182.3,72865.2,74857.8,778.6059485
2026-02-03 20:00:00+00:00,1770148800000,74857.9,76623.6,74509.0,76420.7,418.68137825
2026-02-03 21:00:00+00:00,1770152400000,76374.3,76836.7,76029.7,76145.8,203.99104328
2026-02-03 22:00:00+00:00,1770156000000,76145.8,76183.5,75312.3,75631.2,224.88579718
2026-02-03 23:00:00+00:00,1770159600000,75631.2,75892.9,75339.2,75662.0,115.27348609
2026-02-04 00:00:00+00:00,1770163200000,75662.0,76139.2,75366.7,75804.3,78.79883108
2026-02-04 01:00:00+00:00,1770166800000,75804.3,76659.2,75804.3,76311.2,48.81400362
