datetime,timestamp,open,high,low,close,volume
2026-02-03 06:00:00+00:00,1770098400000,2313.7,2326.9,2296.19,2318.86,918.02569627
2026-02-03 07:00:00+00:00,1770102000000,2318.19,2331.43,2312.13,2320.99,517.6189971
2026-02-03 08:00:00+00:00,1770105600000,2321.0,2330.37,2308.02,2313.78,468.67562167
2026-02-03 09:00:00+00:00,1770109200000,2314.17,2316.41,2260.58,2289.73,3226.64782206
2026-02-03 10:00:00+00:00,1770112800000,2289.96,2296.9,2275.31,2279.54,425.09609934
2026-02-03 11:00:00+00:00,1770116400000,2279.61,2285.44,2268.94,2274.39,626.56933331
2026-02-03 12:00:00+00:00,1770120000000,2274.36,2303.28,2270.04,2298.87,753.78301796
2026-02-03 13:00:00+00:00,1770123600000,2298.88,2314.5,2293.7,2310.45,523.89276097
2026-02-03 14:00:00+00:00,1770127200000,2309.24,2314.72,2253.05,2256.2,1586.025834
2026-02-03 15:00:00+00:00,1770130800000,2254.65,2312.36,2250.77,2301.44,2766.67773631
2026-02-03 16:00:00+00:00,1770134400000,2301.25,2301.25,2234.22,2239.91,4022.18145698
2026-02-03 17:00:00+00:00,1770138000000,2238.97,2242.05,2191.81,2191.92,2732.47710933
2026-02-03 18:00:00+00:00,1770141600000,2192.98,2203.6,2107.48,2118.25,8398.4050533
2026-02-03 19:00:00+00:00,1770145200000,2118.25,2215.08,2111.22,2203.79,6084.95538367
2026-02-03 20:00:00+00:00,1770148800000,2202.62,2341.9,2185.7,2296.97,7223.9508483
2026-02-03 21:00:00+00:00,1770152400000,2297.07,2333.71,2277.7,2281.09,2665.42969683
2026-02-03 22:00:00+00:00,1770156000000,2281.06,2282.04,2226.24,2233.32,1784.08350014
2026-02-03 23:00:00+00:00,1770159600000,2232.91,2244.78,2210.5,2230.61,2158.58662914
2026-02-04 00:00:00+00:00,1770163200000,2230.57,2253.32,2221.11,2237.99,362.60659693
2026-02-04 01:00:00+00:00,1770166800000,2238.0,2277.64,2238.0,2265.38,726.75272427
2026-02-04 02:00:00+00:00,1770170400000,2265.35,2272.74,2240.01,2249.35,510.1687071
2026-02-04 03:00:00+00:00,1770174000000,2248.54,2291.41,2246.73,2280.69,1569.95096312
2026-02-04 04:00:00+00:00,1770177600000,2280.0,2286.13,2268.31,2271.05,768.55887272
2026-02-04 05:00:00+00:00,1770181200000,2270.45,2277.25,2253.67,2262.25,376.84076091
2026-02-04 06:00:00+00:00,1770184800000,2262.26,2280.94,2255.48,2274.0,412.61361631
2026-02-04 07:00:00+00:00,1770188400000,2274.24,2293.8,2261.78,2280.92,10552.10843012
2026-02-04 08:00:00+00:00,1770192000000,2281.25,2283.04,2263.19,2276.63,2247.24575776
2026-02-04 09:00:00+00:00,1770195600000,2276.56,2276.58,2248.65,2256.9,409.36907438
2026-02-04 10:00:00+00:00,1770199200000,2257.89,2260.72,2247.62,2257.35,505.86240229
2026-02-04 11:00:00+00:00,1770202800000,2257.34,2257.7,2223.71,2253.2,1496.4516321
2026-02-04 12:00:00+00:00,1770206400000,2252.62,2259.44,2228.89,2240.41,689.86426658
2026-02-04 13:00:00+00:00,1770210000000,2240.63,2241.93,2194.52,2195.53,1437.75101768
2026-02-04 14:00:00+00:00,1770213600000,2195.01,2225.15,2166.8,2169.33,5108.72479035
2026-02-04 15:00:00+00:00,1770217200000,2169.13,2194.36,2133.46,2147.88,3875.9713597
2026-02-04 16:00:00+00:00,1770220800000,2148.64,2157.37,2102.73,2131.28,6890.54890528
2026-02-04 17:00:00+00:00,1770224400000,2131.97,2151.3,2089.45,2121.4,7435.93728234
2026-02-04 18:00:00+00:00,1770228000000,2121.67,2183.06,2073.0,2142.16,7947.66251955
2026-02-04 19:00:00+00:00,1770231600000,2143.67,2189.09,2129.7,2183.56,4258.66108241
2026-02-04 20:00:00+00:00,1770235200000,2183.77,2187.99,2157.76,2167.64,2256.50406617
2026-02-04 21:00:00+00:00,1770238800000,2167.79,2175.1,2103.96,2125.19,3962.80207806
2026-02-04 22:00:00+00:00,1770242400000,2124.78,2162.32,2084.21,2115.85,4366.9502126
2026-02-04 23:00:00+00:00,1770246000000,2116.08,2160.89,2110.51,2142.84,3215.25254946
2026-02-05 00:00:00+00:00,1770249600000,2143.46,2158.83,2132.32,2146.21,971.62556432
2026-02-05 01:00:00+00:00,1770253200000,2145.81,2168.33,2119.38,2143.09,1902.23636719
2026-02-05 02:00:00+00:00,1770256800000,2143.45,2158.36,2109.14,2119.39,2800.26328592
2026-02-05 03:00:00+00:00,1770260400000,2119.83,2131.71,2095.0,2107.07,2178.15889176
2026-02-05 04:00:00+00:00,1770264000000,2106.14,2121.59,2075.8,2100.18,2928.61300276
2026-02-05 05:00:00+00:00,1770267600000,2099.78,2119.22,2074.0,2096.93,2813.19682043
